gene_id	WT1_FB	WT2_FB	WT3_FB	D1_FB	D2_FB	D3_FB
DDB_G0268774	85.5179037616286	122.704738724223	86.6175972380438	107.998401755429	148.678174825035	448.76774241288
DDB_G0268776	106.897379702036	176.206330964168	149.518471422814	186.233464444402	163.391119208762	555.013108991194
DDB_G0268778	3348.94219552235	2297.07923204114	3188.35250785752	1727.97442808687	2544.56501289096	902.292740045684
DDB_G0268780	0	0.581539046086364	0	0	0	3.17150347994968
DDB_G0268782	99.2618525804618	127.357051092914	110.334320291318	170.076223236896	102.216245192211	199.80471923683
DDB_G0268784	1488.92778870693	1368.36137544121	1222.95798005143	212.595279046121	1214.97945989833	82.4590904786917
DDB_G0268786	70.2468495184807	105.258567341632	72.1813310317032	112.250307336352	69.692894449235	248.96302317605
DDB_G0268788	77.8823766400547	66.2954512538455	83.5241116223994	198.989181187169	74.3390874125173	172.846939657258
DDB_G0268790	6038.17484774071	9279.03701935403	6874.75619983379	9356.74342137786	8250.08997180166	6165.40276502218
DDB_G0268792	348.180036743774	385.560387555259	342.345741464649	575.708015656895	401.895691323922	680.287496449206
DDB_G0268794	974.293260712841	514.662055786432	988.884235134333	970.284853566494	664.405593749374	1530.25042907572
DDB_G0268796	54.9757952753327	61.6431388851546	74.2436547754661	81.6365871537103	46.4619296328233	112.588373538214
DDB_G0268798	30.5421084862959	31.98464753475	22.6855611813924	34.8656257635638	35.6208127184979	47.5725521992452
DDB_G0268800	18.3252650917776	18.0277104286773	6.18697123128884	9.35419227802931	28.6515232735744	12.6860139197987
DDB_G0268802	59.5571115482771	90.7200911894728	61.8697123128884	262.767764901005	117.703555069819	65.0158213389684
DDB_G0268806	0	0	0	0.850381116184482	0	0
DDB_G0268808	186.306861766405	193.070963300673	146.424985807169	247.460904809684	205.206855878303	164.918180957383
DDB_G0268810	4876.04761983715	5464.72241607356	5624.98801111344	5821.70912139897	3628.6767043235	4448.03363062943
DDB_G0268812	116.060012247925	109.910879710323	94.8668922130956	22.960290136981	74.3390874125173	7.9287586998742
DDB_G0268814	360.396880138292	306.471077287514	334.096446489597	277.224243876141	349.238837740055	483.654280692326
DDB_G0268816	290.150030619811	269.834117384073	298.005780973746	402.23026795526	483.204068181363	437.667480233056
DDB_G0268818	288.622925195497	264.600265969296	248.510011123435	293.381485083646	241.602034090681	310.807341035069
DDB_G0268820	232.120024495849	258.203336462346	208.294698120058	231.303663602179	240.827668596801	263.234788835823
DDB_G0268822	4775.25866183237	3249.6401895306	4421.62210662776	7397.46532968881	3130.75969175841	3996.0943847366
DDB_G0268824	56.5029006996475	83.7416226364364	78.368302262992	197.2884189548	97.570052228929	202.976222716779
DDB_G0268826	348.180036743774	356.483435250941	379.467568852382	313.790631872074	391.054574409596	310.807341035069
DDB_G0268828	1097.98880008234	1516.07229314715	1087.87577483495	2369.16178968997	1346.621593858	420.224211093333
DDB_G0268830	1.5271054243148	1.16307809217273	3.09348561564442	0.850381116184482	7.74365493880389	0
DDB_G0268832	32.0692139106107	29.0769523043182	32.9971799002072	17.0076223236896	43.3644676573018	9.51451043984904
DDB_G0268834	1.5271054243148	1.74461713825909	1.03116187188147	2.55114334855345	0	3.17150347994968
DDB_G0268836	7.63552712157399	3.48923427651818	6.18697123128884	5.10228669710689	4.64619296328233	1.58575173997484
DDB_G0268838	0	4.65231236869091	0	1.70076223236896	3.87182746940194	4.75725521992452
DDB_G0268840	1.5271054243148	6.97846855303637	3.09348561564442	5.95266781329138	8.51802043268428	1.58575173997484
DDB_G0268842	0	0.581539046086364	1.03116187188147	0.850381116184482	1.54873098776078	0
DDB_G0268844	174.090018371887	269.252578337987	295.943457229983	268.720432714296	88.2776663023643	304.464334075169
DDB_G0268846	329.854771651996	295.421835411873	306.255075948798	770.445291263141	303.551273601112	868.991953506212
DDB_G0268848	9399.33388665758	7088.37943274669	7393.43062139017	6402.51942375297	3102.88253397872	2813.12358671537
DDB_G0268850	3526.08642474287	1940.5957967902	2556.25028039417	1492.41885890377	2277.40891750222	973.651568344552
DDB_G0268852	6781.87518938201	4606.95232309618	4984.63648867504	5152.45918296178	4638.44930834353	2532.44552873982
DDB_G0268854	5454.82057565246	4203.36422511224	4820.68175104589	1886.99569681337	5336.15261832976	602.585661190439
DDB_G0268856	1272.07881845423	853.699319654782	1074.4706705005	341.002827589977	1338.10357342531	112.588373538214
DDB_G0268858	2654.10922745912	3678.81600554234	2853.22489949604	169.225842120712	1169.29189575939	117.345628758138
DDB_G0268860	2371.59472396088	1845.80493227812	2336.61280168342	1468.6081876506	2072.9764271178	1127.46948712211
