gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0279715	149.3787	-0.1210083	0.22636595	0.3420356	0.6246464
DDB_G0279717	14261.63	0.2612848	0.35957476	0.1073142	0.3925298
DDB_G0279719	1503.041	-0.07916984	0.32777667	0.5380552	0.762324
DDB_G0279721	1160.296	0.6112554	0.3691946	0.005139356	0.1030041
DDB_G0279723	1758.47	-0.02037081	0.19364676	0.8571564	0.9391125
DDB_G0279727	7102.71	-0.2621156	0.44980474	NA	NA
DDB_G0279731	345.6135	0.1464103	0.20735509	0.2190559	0.5125658
DDB_G0279733	3746.681	-0.0850239	0.19476226	0.4501808	0.7060242
DDB_G0279735	3633.392	-0.3174128	0.26802113	0.04989908	0.292356
DDB_G0279737	520.7808	0.2446772	0.28955506	0.1213757	0.409992
DDB_G0279739	151.5223	0.03366877	0.15558108	0.7181708	0.8675935
DDB_G0279741	1401.041	-0.07332522	0.32806352	0.5651247	0.7811063
DDB_G0279743	390.312	0.3178423	0.30238354	0.06257153	0.3191318
DDB_G0279745	510.8606	0.4228246	0.39821618	0.02693043	0.2249071
DDB_G0279747	779.0728	0.03793125	0.21748616	0.757191	0.8859279
DDB_G0279749	44.11579	0.3200169	0.34427928	0.06787804	0.33074
DDB_G0279751	3264.949	-0.4835142	0.34161278	0.01559641	0.1749183
DDB_G0279753	423.2901	-0.06453844	0.15891761	0.4891894	0.7292089
DDB_G0279755	726.8439	0.6512587	0.3366549	0.002919016	0.07870901
DDB_G0279757	219.4017	-0.0822021	0.3568702	0.4724576	0.7175106
DDB_G0279759	415.9214	0.06533572	0.20688336	0.5816803	0.7905948
DDB_G0279761	167.9057	0.1299628	0.23043029	0.3148606	0.6031609
DDB_G0279763	76.6638	-0.08971764	0.35073579	0.4542823	0.7080681
DDB_G0279765	458.8424	0.03650069	0.14671569	0.6778799	0.846144
DDB_G0279767	7.67336	-0.05557924	0.31019723	0.6713361	NA
DDB_G0279769	398.0832	0.05976113	0.30465124	0.6525505	0.8313766
DDB_G0279771	0.5188095	-0.00039884	0.41310079	0.9924148	NA
DDB_G0279775	54.54471	0.9173888	0.39438535	0.0002414917	0.01898328
DDB_G0279777	279.2382	-0.01435884	0.19131209	0.8981412	0.9593756
DDB_G0279781	5.858233	0.111501	0.37067899	0.3305132	NA
