"GOID","Name","Namespace","Definition","Synonyms","Is_a"
"GO:0000012","single strand break repair","biological_process","The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair.",NULL,GO:0006281
"GO:0000014","single-stranded DNA endodeoxyribonuclease activity","molecular_function","Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks.",c("single-stranded DNA specific endodeoxyribonuclease activity", "ssDNA-specific endodeoxyribonuclease activity"),GO:0004520
"GO:0000015","phosphopyruvate hydratase complex","cellular_component","A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water.",enolase complex,GO:1902494
"GO:0000016","lactase activity","molecular_function","Catalysis of the reaction: lactose + H2O = D-glucose + D-galactose.",lactose galactohydrolase activity,GO:0004553
"GO:0000017","alpha-glucoside transport","biological_process","The directed movement of alpha-glucosides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Alpha-glucosides are glycosides in which the sugar group is a glucose residue, and the anomeric carbon of the bond is in an alpha configuration.",NULL,GO:0042946
"GO:0000018","regulation of DNA recombination","biological_process","Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents.",NULL,GO:0051052
"GO:0000019","regulation of mitotic recombination","biological_process","Any process that modulates the frequency, rate or extent of DNA recombination during mitosis.",regulation of recombination within rDNA repeats,GO:0000018
"GO:0000020","obsolete negative regulation of recombination within rDNA repeats","biological_process","OBSOLETE. Any process that stops, prevents, or reduces the frequency, rate or extent of genetic recombination within the DNA of the genes coding for ribosomal RNA.",negative regulation of recombination within rDNA repeats,NULL
"GO:0000022","mitotic spindle elongation","biological_process","The cell cycle process in which the distance is lengthened between poles of the mitotic spindle. Mitotic spindle elongation begins during mitotic prophase and ends during mitotic anaphase B.",c("microtubule sliding involved in mitotic spindle elongation", "spindle elongation during mitosis"),c("GO:0051231", "GO:1903047")
"GO:0000023","maltose metabolic process","biological_process","The chemical reactions and pathways involving the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose), an intermediate in the catabolism of glycogen and starch.",c("malt sugar metabolic process", "malt sugar metabolism", "maltose metabolism"),GO:0005984
"GO:0000024","maltose biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose).",c("malt sugar biosynthesis", "malt sugar biosynthetic process", "maltose anabolism", "maltose biosynthesis", "maltose formation", "maltose synthesis"),c("GO:0000023", "GO:0046351")
"GO:0000025","maltose catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of the disaccharide maltose (4-O-alpha-D-glucopyranosyl-D-glucopyranose).",c("malt sugar catabolic process", "malt sugar catabolism", "maltose breakdown", "maltose degradation", "maltose hydrolysis"),c("GO:0000023", "GO:0046352")
"GO:0000026","alpha-1,2-mannosyltransferase activity","molecular_function","Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->2) linkage.",NULL,GO:0000030
"GO:0000027","ribosomal large subunit assembly","biological_process","The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit.",c("50S ribosomal subunit assembly", "60S ribosomal subunit assembly"),GO:0022618
"GO:0000028","ribosomal small subunit assembly","biological_process","The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit.",c("30S ribosomal subunit assembly", "40S ribosomal subunit assembly"),GO:0022618
"GO:0000030","mannosyltransferase activity","molecular_function","Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid.",NULL,GO:0016758
"GO:0000031","mannosylphosphate transferase activity","molecular_function","Catalysis of the transfer of a mannosylphosphate group from one compound to another.",NULL,GO:0016758
"GO:0000032","cell wall mannoprotein biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of cell wall mannoproteins, any cell wall protein that contains covalently bound mannose residues.",c("cell wall mannoprotein anabolism", "cell wall mannoprotein biosynthesis", "cell wall mannoprotein formation", "cell wall mannoprotein synthesis"),c("GO:0006057", "GO:0031506")
"GO:0000033","alpha-1,3-mannosyltransferase activity","molecular_function","Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->3) linkage.",NULL,GO:0000030
"GO:0000034","adenine deaminase activity","molecular_function","Catalysis of the reaction: adenine + H2O = hypoxanthine + NH3.",c("ADase activity", "adenase activity", "adenine aminase activity", "adenine aminohydrolase activity"),c("GO:0016814", "GO:0019239")
"GO:0000035","acyl binding","molecular_function","Binding to an acyl group, any group formally derived by removal of the hydroxyl group from the acid function of a carboxylic acid.",acyl-CoA or acyl binding,GO:0036094
"GO:0000036","acyl carrier activity","molecular_function","Binding an acyl group and presenting it for processing or offloading to a cognate enzyme. Covalently binds the acyl group via a phosphopantetheine prosthetic group and mediates protein-protein interactions with the enzyme conferring specificity. The acyl carrier protein (ACP) presents substrates to enzymes involved in fatty acid biosynthesis or in polyketide secondary metabolite biosynthesis.",ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process,c("GO:0044620", "GO:0140414")
"GO:0000038","very long-chain fatty acid metabolic process","biological_process","The chemical reactions and pathways involving a very long-chain fatty acid. A very long-chain fatty acid has an aliphatic tail containing more than 22 carbons.",c("very long chain fatty acid metabolic process", "very-long-chain fatty acid metabolic process", "very-long-chain fatty acid metabolism"),GO:0006631
"GO:0000039","obsolete plasma membrane long-chain fatty acid transporter","molecular_function","OBSOLETE. (Was not defined before being made obsolete).",plasma membrane long-chain fatty acid transporter,NULL
"GO:0000041","transition metal ion transport","biological_process","The directed movement of transition metal ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver.",transition metal transport,GO:0030001
"GO:0000044","obsolete ascorbate stabilization","biological_process","OBSOLETE. The reduction of the ascorbate free radical to a stable form.",c("ascorbate stabilization", "vitamin C stabilization"),NULL
"GO:0000045","autophagosome assembly","biological_process","The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm.",c("autophagic vacuole assembly", "autophagic vacuole formation", "autophagosome biosynthesis", "autophagosome formation", "PAS formation"),c("GO:0070925", "GO:1905037")
"GO:0000047","obsolete Rieske iron-sulfur protein","molecular_function","OBSOLETE. (Was not defined before being made obsolete).",c("Rieske iron-sulfur protein", "Rieske iron-sulphur protein"),NULL
"GO:0000048","peptidyltransferase activity","molecular_function","Catalysis of the reaction: peptidyl-tRNA(1) + aminoacyl-tRNA(2) = tRNA(1) + peptidylaminoacyl-tRNA(2). This reaction is catalyzed by a ribozyme.",NULL,c("GO:0016755", "GO:0140096", "GO:0140101")
"GO:0000049","tRNA binding","molecular_function","Binding to a transfer RNA.",base pairing with tRNA,GO:0003723
"GO:0000050","urea cycle","biological_process","The sequence of reactions by which arginine is synthesized from ornithine, then cleaved to yield urea and regenerate ornithine. The overall reaction equation is NH3 + CO2 + aspartate + 3 ATP + 2 H2O = urea + fumarate + 2 ADP + 2 phosphate + AMP + diphosphate.",c("ornithine cycle", "urea biosynthesis", "urea biosynthetic process"),c("GO:0019627", "GO:0043604", "GO:1901566")
"GO:0000051","obsolete urea cycle intermediate metabolic process","biological_process","OBSOLETE. The chemical reactions and pathways involving any of the intermediate compounds involved in the urea cycle, a cyclic metabolic pathway that converts waste nitrogen in the form of ammonium to urea.",c("urea cycle intermediate metabolic process", "urea cycle intermediate metabolism"),NULL
"GO:0000052","citrulline metabolic process","biological_process","The chemical reactions and pathways involving citrulline, N5-carbamoyl-L-ornithine, an alpha amino acid not found in proteins.",citrulline metabolism,c("GO:0170041", "GO:1901605")
"GO:0000053","argininosuccinate metabolic process","biological_process","The chemical reactions and pathways involving argininosuccinate, 2-(N(omega)-arginino)succinate, an intermediate in the ornithine-urea cycle, where it is synthesized from citrulline and aspartate.",argininosuccinate metabolism,c("GO:0006575", "GO:0072350", "GO:0170033", "GO:0170041")
"GO:0000054","ribosomal subunit export from nucleus","biological_process","The directed movement of a ribosomal subunit from the nucleus into the cytoplasm.",c("ribosomal subunit export from cell nucleus", "ribosomal subunit export out of nucleus", "ribosomal subunit transport from nucleus to cytoplasm", "ribosomal subunit-nucleus export", "ribosome export from nucleus"),c("GO:0031503", "GO:0033750", "GO:0051168", "GO:0051656")
"GO:0000055","ribosomal large subunit export from nucleus","biological_process","The directed movement of a ribosomal large subunit from the nucleus into the cytoplasm.",c("50S ribosomal subunit export from nucleus", "60S ribosomal subunit export from nucleus", "ribosomal large subunit export from cell nucleus", "ribosomal large subunit export out of nucleus", "ribosomal large subunit transport from nucleus to cytoplasm", "ribosomal large subunit-nucleus export"),GO:0000054
"GO:0000056","ribosomal small subunit export from nucleus","biological_process","The directed movement of a ribosomal small subunit from the nucleus into the cytoplasm.",c("30S ribosomal subunit export from nucleus", "40S ribosomal subunit export from nucleus", "ribosomal small subunit export from cell nucleus", "ribosomal small subunit export out of nucleus", "ribosomal small subunit transport from nucleus to cytoplasm", "ribosomal small subunit-nucleus export"),GO:0000054
"GO:0000059","obsolete protein import into nucleus, docking","biological_process","OBSOLETE. A protein complex assembly process that contributes to protein import into the nucleus, and that results in the association of a cargo protein, a carrier protein such as an importin alpha/beta heterodimer, and a nucleoporin located at the periphery of the nuclear pore complex.",c("protein docking during protein import into nucleus", "protein docking during protein transport from cytoplasm to nucleus", "protein docking during protein-nucleus import", "protein transport from cytoplasm to nucleus, docking", "protein-nucleus import, docking"),NULL
"GO:0000060","obsolete protein import into nucleus, translocation","biological_process","OBSOLETE. A protein transport process that contributes to protein import into the nucleus, and that results in the vectorial transfer of a cargo-carrier protein complex through the nuclear pore complex from the cytoplasmic side to the nucleoplasmic side of the nuclear envelope.",c("protein import into cell nucleus, translocation", "protein translocation during protein import into nucleus", "protein translocation during protein transport from cytoplasm to nucleus", "protein translocation during protein-nucleus import", "protein transport from cytoplasm to nucleus, translocation", "protein-nucleus import, translocation"),NULL
"GO:0000061","obsolete protein import into nucleus, substrate release","biological_process","OBSOLETE. A protein complex disassembly process that contributes to protein import into the nucleus, and that results in the dissociation of the cargo protein and the carrier (such as an importin alpha/beta heterodimer) from each other and from the nuclear pore complex.",c("protein import into cell nucleus, substrate release", "protein substrate release during protein import into nucleus", "protein substrate release during protein transport from cytoplasm to nucleus", "protein substrate release during protein-nucleus import", "protein transport from cytoplasm to nucleus, substrate release", "protein-nucleus import, substrate release"),NULL
"GO:0000062","fatty-acyl-CoA binding","molecular_function","Binding to a fatty-acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with a fatty acyl group.",c("fatty-acyl binding", "fatty-acyl-coenzyme A binding"),c("GO:0120227", "GO:1901567")
"GO:0000064","L-ornithine transmembrane transporter activity","molecular_function","Enables the transfer of L-ornithine from one side of a membrane to the other. L-ornithine is 2,5-diaminopentanoic acid.",c("histidine/arginine/lysine/ornithine porter activity", "L-ornithine transporter activity"),c("GO:0015101", "GO:0015179")
"GO:0000067","obsolete DNA replication and chromosome cycle","biological_process","OBSOLETE. (Was not defined before being made obsolete).",DNA replication and chromosome cycle,NULL
"GO:0000070","mitotic sister chromatid segregation","biological_process","The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets.",c("mitotic chromosome segregation", "mitotic sister-chromatid adhesion release"),c("GO:0000819", "GO:1903047")
"GO:0000072","obsolete M phase specific microtubule process","biological_process","OBSOLETE. A microtubule-based process that occurs only during M phase of the cell cycle.",c("M phase specific microtubule process", "M-phase specific microtubule process"),NULL
"GO:0000073","initial mitotic spindle pole body separation","biological_process","The release of duplicated mitotic spindle pole bodies (SPBs) that begins with the nucleation of microtubules from each SPB within the nucleus, leading to V-shaped spindle microtubules. Interpolar microtubules that elongate from each pole are interconnected, forming overlapping microtubules. Capturing and antiparallel sliding apart of microtubules promotes the initial separation of the SPB.",NULL,c("GO:0110100", "GO:1903047")
"GO:0000075","cell cycle checkpoint signaling","biological_process","A signaling process that controls cell cycle progression by monitoring the integrity of specific cell cycle events. A cell cycle checkpoint begins with detection of deficiencies or defects and ends with signal transduction.",c("cell cycle checkpoint", "G1/S checkpoint", "G1/S transition checkpoint", "G2/M checkpoint", "G2/M transition checkpoint", "signal transduction involved in cell cycle checkpoint", "signal transduction involved in G2/M transition checkpoint"),c("GO:0035556", "GO:1901988")
"GO:0000076","DNA replication checkpoint signaling","biological_process","A signal transduction process that contributes to a DNA replication checkpoint, that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome.",c("DNA replication checkpoint", "signal transduction involved in DNA replication checkpoint"),GO:0031570
"GO:0000077","DNA damage checkpoint signaling","biological_process","A signal transduction process that contributes to a DNA damage checkpoint.",c("DNA damage checkpoint", "DNA damage response, signal transduction resulting in cell cycle arrest", "signal transduction involved in DNA damage checkpoint"),c("GO:0031570", "GO:0042770")
"GO:0000078","obsolete cytokinesis after mitosis checkpoint","biological_process","OBSOLETE. A mitotic cell cycle checkpoint that detects whether chromosome segregation is complete and negatively regulates cytokinesis following mitosis.",c("cell morphogenesis checkpoint", "cell shape checkpoint"),NULL
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","biological_process","Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity.",c("regulation of CDK activity", "regulation of cyclin-dependent protein kinase activity"),c("GO:0071900", "GO:1904029")
"GO:0000080","mitotic G1 phase","biological_process","The cell cycle 'gap' phase which is the interval between the completion of DNA segregation by mitosis and the beginning of DNA synthesis.",G1 phase of mitotic cell cycle,GO:0051318
"GO:0000082","G1/S transition of mitotic cell cycle","biological_process","The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated.",NULL,c("GO:0044772", "GO:0044843")
"GO:0000083","obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle","biological_process","OBSOLETE. Any process that regulates transcription such that the target genes are involved in the transition between G1 and S phase of the mitotic cell cycle.",NULL,NULL
"GO:0000084","mitotic S phase","biological_process","The cell cycle phase, following G1, during which DNA synthesis takes place as part of a mitotic cell cycle.",c("S phase of mitotic cell cycle", "S-phase of mitotic cell cycle"),GO:0051320
"GO:0000085","mitotic G2 phase","biological_process","The cell cycle 'gap' phase which is the interval between the completion of DNA synthesis and the beginning of DNA segregation by mitosis.",G2 phase of mitotic cell cycle,GO:0051319
"GO:0000086","G2/M transition of mitotic cell cycle","biological_process","The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex.",mitotic G2/M transition,c("GO:0044772", "GO:0044839")
"GO:0000087","mitotic M phase","biological_process","A cell cycle phase during which nuclear division occurs, and which is comprises the phases: prophase, metaphase, anaphase and telophase and occurs as part of a mitotic cell cycle.",c("M phase of mitotic cell cycle", "M-phase of mitotic cell cycle"),c("GO:0000279", "GO:0098763")
"GO:0000088","mitotic prophase","biological_process","The cell cycle phase which is the first stage of M phase of mitosis and during which chromosomes condense and the two daughter centrioles and their asters migrate toward the poles of the cell.",NULL,GO:0051324
"GO:0000089","mitotic metaphase","biological_process","The cell cycle phase, following prophase, during which chromosomes become aligned on the equatorial plate of the cell as part of a mitotic cell cycle.",NULL,GO:0051323
"GO:0000090","mitotic anaphase","biological_process","The cell cycle phase during which chromosomes separate and migrate towards the poles of the spindle the as part of a mitotic cell cycle.",NULL,GO:0051322
"GO:0000091","mitotic anaphase A","biological_process","The cell cycle phase during which the kinetochore microtubules shorten as chromosomes move toward the spindle poles as part of mitosis.",NULL,GO:0000090
"GO:0000092","mitotic anaphase B","biological_process","The cell cycle phase during which the polar microtubules elongate and the two poles of the spindle move farther apart as part of mitosis.",NULL,GO:0000090
"GO:0000093","mitotic telophase","biological_process","The cell cycle phase which follows anaphase during M phase of mitosis and during which the chromosomes arrive at the poles of the cell and the division of the cytoplasm starts.",NULL,GO:0051326
"GO:0000094","obsolete septin assembly and septum formation","biological_process","OBSOLETE. (Was not defined before being made obsolete).",septin assembly and septum formation,NULL
"GO:0000095","S-adenosyl-L-methionine transmembrane transporter activity","molecular_function","Enables the transfer of S-adenosylmethionine from one side of a membrane to the other. S-adenosylmethionine is S-(5'-adenosyl)-L-methionine, an important intermediate in one-carbon metabolism.",c("S-adenosyl methionine permease activity", "S-adenosyl methionine transporter activity", "S-adenosylmethionine permease activity", "S-adenosylmethionine transmembrane transporter activity", "S-adenosylmethionine transporter activity", "SAM transmembrane transporter activity"),c("GO:0015101", "GO:1901682")
"GO:0000096","sulfur amino acid metabolic process","biological_process","The chemical reactions and pathways involving amino acids containing sulfur, comprising cysteine, homocysteine, methionine and selenocysteine.",c("sulfur amino acid metabolism", "sulphur amino acid metabolic process", "sulphur amino acid metabolism"),c("GO:0006790", "GO:0019752", "GO:1901564")
"GO:0000097","sulfur amino acid biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of amino acids containing sulfur, comprising cysteine, methionine and selenocysteine.",c("sulfur amino acid anabolism", "sulfur amino acid biosynthesis", "sulfur amino acid formation", "sulfur amino acid synthesis", "sulphur amino acid biosynthesis", "sulphur amino acid biosynthetic process"),c("GO:0000096", "GO:0044272", "GO:0046394", "GO:1901566")
"GO:0000098","sulfur amino acid catabolic process","biological_process","The chemical reactions and pathways resulting in the breakdown of amino acids containing sulfur, comprising cysteine, methionine and selenocysteine.",c("sulfur amino acid breakdown", "sulfur amino acid catabolism", "sulfur amino acid degradation", "sulphur amino acid catabolic process", "sulphur amino acid catabolism"),c("GO:0000096", "GO:0044273", "GO:0046395", "GO:1901565")
"GO:0000099","sulfur amino acid transmembrane transporter activity","molecular_function","Enables the transfer of sulfur amino acids from one side of a membrane to the other. Sulphur amino acids contain sulfur in the form of cystine, methionine or their derivatives.",c("sulfur amino acid transporter activity", "sulphur amino acid transmembrane transporter activity", "sulphur amino acid transporter activity"),c("GO:0046943", "GO:1901682")
"GO:0000100","S-methylmethionine transmembrane transporter activity","molecular_function","Enables the transfer of S-methylmethionine from one side of a membrane to the other.",c("S-methylmethionine permease activity", "S-methylmethionine transporter activity"),c("GO:0072349", "GO:1901682")
"GO:0000101","sulfur amino acid transport","biological_process","The directed movement of amino acids containing sulfur (cystine, methionine and their derivatives) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",sulphur amino acid transport,c("GO:0046942", "GO:0071705", "GO:0072348")
"GO:0000102","L-methionine secondary active transmembrane transporter activity","molecular_function","Enables the transfer of L-methionine from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Secondary active transporters include symporters and antiporters.",L-methionine porter activity,c("GO:0005294", "GO:0015191")
"GO:0000103","sulfate assimilation","biological_process","The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds.",c("sulfate assimilation, phosphoadenylyl sulfate reduction by an oxidoreductase, acting on sulfur group of donors, NAD or NADP as acceptor", "sulphate assimilation", "sulphate assimilation, phosphoadenylyl sulphate reduction by an oxidoreductase, acting on sulphur group of donors, NAD or NADP as acceptor"),GO:0006790
"GO:0000104","succinate dehydrogenase activity","molecular_function","Catalysis of the reaction: succinate + acceptor = fumarate + reduced acceptor.",c("fumarate dehydrogenase activity", "fumarate reductase activity", "fumaric hydrogenase activity", "succinate oxidoreductase activity", "succinic acid dehydrogenase activity", "succinic dehydrogenase activity", "succinodehydrogenase activity", "succinyl dehydrogenase activity"),GO:0016627
"GO:0000105","L-histidine biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of L-histidine, 2-amino-3-(1H-imidazol-4-yl)propanoic acid.",c("histidine anabolism", "histidine biosynthesis", "histidine biosynthetic process", "histidine formation", "histidine synthesis"),c("GO:0006547", "GO:0009073", "GO:0170034", "GO:0170038")
"GO:0000107","imidazoleglycerol-phosphate synthase activity","molecular_function","Catalysis of the reaction: phosphoribulosylformimino-AICAR-P + L-glutamine = D-erythro-imidazole-glycerol-phosphate + aminoimidazole carboxamide ribonucleotide + L-glutamate + 2 H+.",c("glutamine amidotransferase:cyclase activity", "imidazole glycerol phosphate synthase activity", "imidazole-glycerol-phosphate synthase activity", "imidazoleglycerol phosphate synthase activity"),GO:0016763
"GO:0000108","obsolete repairosome","cellular_component","OBSOLETE. A stable complex of proteins that carry out the DNA damage recognition and incision reactions characteristic of nucleotide excision repair (NER), such as DNA damage recognition, DNA helix unwinding, and endonucleolytic cleavage at sites flanking damaged DNA; includes TFIIH subunits and additional polypeptides; may form in the absence of DNA damage.",repairosome,NULL
"GO:0000109","nucleotide-excision repair complex","cellular_component","Any complex formed of proteins that act in nucleotide-excision repair.",c("UvrB-UvrC complex", "UvrBC complex"),GO:0140513
"GO:0000110","nucleotide-excision repair factor 1 complex","cellular_component","One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and endodeoxynuclease activities. In S. cerevisiae, it is composed of Rad1p, Rad10p, and Rad14p; in human the subunits are ERCC4/XPF, ERCC1 and XPA, respectively.",c("NEF1 complex", "XPA-ERCC1-ERCC4 complex"),GO:0000109
"GO:0000111","nucleotide-excision repair factor 2 complex","cellular_component","One of several protein complexes involved in nucleotide-excision repair; possesses damaged DNA binding activity. In S. cerevisiae, it is composed of Rad4p and Rad23p.",NEF2 complex,GO:0000109
"GO:0000112","nucleotide-excision repair factor 3 complex","cellular_component","One of several protein complexes involved in nucleotide-excision repair; possesses endodeoxynuclease and DNA helicase activities. In S. cerevisiae, it is composed of Rad2p and the core TFIIH-Ssl2p complex (core TFIIH is composed of Rad3p, Tfb1p, Tfb2p, Ssl1p, Tfb4p and Tfb5p. Note that Ssl2p is also called Rad25p).",NEF3 complex,GO:0000109
"GO:0000113","nucleotide-excision repair factor 4 complex","cellular_component","One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and DNA-dependent ATPase activities. In S. cerevisiae, it is composed of Rad7p and Rad16p.",NEF4 complex,GO:0000109
"GO:0000114","obsolete regulation of transcription involved in G1 phase of mitotic cell cycle","biological_process","OBSOLETE. Any process that regulates transcription such that the target genes are transcribed as part of the G1 phase of the mitotic cell cycle.",c("G1-specific transcription in mitotic cell cycle", "regulation of transcription from RNA polymerase II promoter during G1 phase of cell cycle", "regulation of transcription involved in G1 phase of mitotic cell cycle"),NULL
"GO:0000115","obsolete regulation of transcription involved in S phase of mitotic cell cycle","biological_process","OBSOLETE. A cell cycle process that regulates transcription such that the target genes are transcribed as part of the S phase of the mitotic cell cycle.",c("regulation of transcription from RNA polymerase II promoter during S-phase of mitotic cell cycle", "regulation of transcription involved in S phase of mitotic cell cycle", "regulation of transcription involved in S-phase of mitotic cell cycle", "S-phase-specific transcription in mitotic cell cycle", "S-specific transcription in mitotic cell cycle"),NULL
"GO:0000116","obsolete regulation of transcription involved in G2-phase of mitotic cell cycle","biological_process","OBSOLETE. Any process that regulates transcription such that the target genes are transcribed as part of the G2 phase of the mitotic cell cycle.",c("G2-specific transcription in mitotic cell cycle", "regulation of transcription from RNA polymerase II during G2-phase of mitotic cell cycle", "regulation of transcription involved in G2-phase of mitotic cell cycle"),NULL
"GO:0000117","obsolete regulation of transcription involved in G2/M transition of mitotic cell cycle","biological_process","OBSOLETE. Any process that regulates transcription such that the target genes are transcribed as part of the G2/M transition of the mitotic cell cycle.",c("G2/M-specific transcription in mitotic cell cycle", "regulation of transcription from RNA polymerase II promoter during G2/M transition of mitotic cell cycle"),NULL
"GO:0000118","histone deacetylase complex","cellular_component","A protein complex that possesses histone deacetylase activity.",HDAC complex,c("GO:0140513", "GO:1902494")
"GO:0000120","RNA polymerase I transcription regulator complex","cellular_component","A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase I.",RNA polymerase I transcription factor complex,c("GO:0005667", "GO:0140513")
"GO:0000121","glycerol-1-phosphatase activity","molecular_function","Catalysis of the reaction: glycerol-1-phosphate + H2O = glycerol + phosphate.",c("alpha-glycerol phosphatase activity", "alpha-glycerophosphatase activity", "glycerol 3-phosphatase activity", "glycerol 3-phosphate phosphohydrolase activity", "glycerol-1-phosphate phosphohydrolase activity", "glycerol-3-phosphate phosphatase activity"),GO:0016791
