gene_id	WT1_vegetativ	WT2_vegetativ	WT3_vegetativ	D1_vegetativ	D2_vegetativ	D3_vegetativ
DDB_G0290567	5.4986683	5.20249694	5.94504523	6.2551502	5.66611114	6.14544329
DDB_G0290569	5.20249694	5.49877869	5.81097935	6.15240784	5.7993338	5.9835787
DDB_G0290571	8.06563878	8.20468956	8.54102865	8.55987404	7.93384264	7.99535659
DDB_G0290573	7.69528544	7.55452089	7.61238243	7.38533782	7.79594815	7.67511173
DDB_G0290575	12.86730679	12.83614521	13.1651808	11.69314663	12.0782136	11.97373958
DDB_G0290577	8.82075815	8.95982138	9.00868087	8.55377792	8.2125596	7.73735902
DDB_G0290579	5.20249694	5.20249694	5.53749911	5.56707929	5.47093056	5.45868301
DDB_G0290583	5.20249694	5.20249694	5.63434117	5.41336146	5.20249694	5.45868301
DDB_G0290585	5.20249694	5.20249694	5.39619983	5.20249694	5.20249694	5.45868301
DDB_G0290587	10.53945861	10.61266371	10.71449811	10.49177431	10.85726356	10.2858109
DDB_G0290591	11.04298364	11.08394428	10.95194086	10.2646148	11.10688326	10.31908747
DDB_G0290593	6.32318848	6.07934623	6.24163947	6.38179185	5.95430202	6.41044251
DDB_G0290595	7.23143502	6.86489673	7.00246233	7.18478763	6.79862539	6.63827882
DDB_G0290597	11.17617176	11.25932711	11.28976928	11.22080748	11.14811404	11.33127037
DDB_G0290599	7.36717986	6.7042974	7.02667872	7.03418672	7.04923027	7.34979864
DDB_G0290601	6.45594831	6.35853053	6.59807297	6.68703924	6.76080568	6.64799993
DDB_G0290603	10.46665718	10.47560379	10.21191323	9.5498509	10.28329246	10.11895973
DDB_G0290605	6.88556681	6.86489673	6.94401424	7.56542572	7.3793652	7.2943889
DDB_G0290607	6.65341055	6.72866449	6.43575251	6.50880629	6.3442319	6.93702273
DDB_G0290609	5.4986683	5.20249694	5.20249694	5.7952645	5.66611114	5.38376669
DDB_G0290611	5.20249694	5.79199281	5.39619983	5.41336146	5.20249694	5.60677107
DDB_G0290613	6.16837209	5.97837883	6.24163947	6.21549909	6.37238333	6.26654917
DDB_G0290617	7.06146544	7.33889858	7.33673579	7.21775191	6.98732764	7.1633779
DDB_G0290619	9.43029105	9.78034578	9.81345747	9.60941604	9.76884883	9.43012721
DDB_G0290621	7.75012863	7.77222889	7.53929024	7.54023915	7.31978852	7.28301668
DDB_G0290623	10.0451696	9.78034578	10.0815301	10.79489131	11.02070668	10.85375766
DDB_G0290625	5.20249694	5.62077281	5.53749911	5.62311022	5.7993338	5.64507003
DDB_G0290627	5.4986683	5.62077281	5.53749911	5.41336146	5.20249694	5.5160544
DDB_G0290629	8.56976596	8.6176229	8.38444807	8.81016748	8.74730128	8.49555908
DDB_G0290631	8.76464735	8.63484239	8.5227087	8.22889233	8.46608278	8.35993147
DDB_G0290633	5.79177542	5.62077281	5.67520921	5.71674061	5.90671814	5.68022156
DDB_G0290635	6.0302665	6.03056788	6.36569528	5.95490074	6.18900111	6.04141717
DDB_G0290637	6.12492577	6.21005043	6.22487481	7.2812352	6.22227299	7.42361746
DDB_G0290639	6.70378162	6.72866449	7.12645829	7.07129202	7.12249016	7.21860614
DDB_G0290641	11.29719862	11.32829325	11.51853712	11.87698828	11.32751674	11.0263965
DDB_G0290645	6.32318848	6.62783079	6.59807297	7.19310913	6.66035403	6.43444738
DDB_G0290647	9.00358165	8.88526315	9.05653045	9.30328282	9.37400607	9.05079085
DDB_G0290649	8.52735544	8.38598441	8.52534041	8.16190861	8.55299339	8.64491826
DDB_G0290651	8.96794178	8.9733774	8.84631746	8.25178821	9.65884685	8.52809778
DDB_G0290653	10.34401293	10.43392371	10.5998416	10.92459858	10.38065817	10.35995013
DDB_G0290657	5.4986683	5.49877869	5.20249694	5.41336146	5.20249694	5.45868301
DDB_G0290659	10.46028805	10.28857978	10.20704839	9.76021294	10.74455338	10.50405725
DDB_G0290661	5.20249694	5.20249694	5.39619983	5.20249694	5.47093056	5.5160544
DDB_G0290663	6.5162447	6.51670471	6.36569528	6.80694434	6.3442319	6.2230831
DDB_G0290665	6.12492577	5.86045107	5.96884879	5.86409041	6.6174888	5.82598355
DDB_G0290667	5.71370344	6.24950562	6.24163947	6.34731262	5.95430202	6.2230831
DDB_G0290669	9.69768226	9.8057329	9.39359726	9.53456536	9.68153118	9.61218233
DDB_G0290671	9.2825031	9.2578902	9.36031872	9.17294109	9.26091544	9.3052024
DDB_G0290673	5.62061751	5.20249694	5.67520921	5.62311022	5.47093056	5.74348873
DDB_G0290675	5.62061751	5.20249694	5.20249694	5.71674061	5.47093056	5.5160544
DDB_G0290677	6.12492577	5.97837883	6.17255622	6.55264673	6.25432973	6.2230831
DDB_G0290679	7.63812725	7.96908246	7.91611998	8.78703147	7.93384264	8.42072476
DDB_G0290681	5.20249694	5.71389267	5.63434117	6.0351031	5.58157579	5.7723869
DDB_G0290683	7.66128158	7.98730385	8.8315609	8.28174552	7.92610311	7.89066027
DDB_G0290687	13.06141426	12.97582662	13.23876187	12.58411881	12.36541823	12.27981773
DDB_G0290689	6.67888113	6.86489673	6.58643844	6.41508936	6.70161804	6.80993495
DDB_G0290691	7.02451113	7.09797099	7.34919153	7.89091192	6.88812493	6.85920783
DDB_G0290693	9.97983907	10.17247342	9.96338078	9.89906858	10.10030564	10.21685824
DDB_G0290695	5.92176773	6.03056788	5.920382	6.27433543	5.66611114	6.09513513
DDB_G0290697	7.40945139	7.26352002	7.32415958	6.77227555	6.97134967	7.37131807
DDB_G0290699	7.84360324	7.6504988	7.83231267	7.87610893	8.24994609	7.64938845
DDB_G0290701	7.73933572	7.78277309	7.74764396	7.19310913	8.16110368	7.65801744
DDB_G0290703	6.54512563	6.21005043	6.336192	5.95490074	5.90671814	5.64507003
DDB_G0290707	7.27828631	7.42394241	6.92678272	5.8957879	5.7993338	5.74348873
DDB_G0290709	7.84360324	7.60336722	7.39785854	7.23391987	7.81290971	7.1882207
DDB_G0290713	5.20249694	5.20249694	5.20249694	5.50044017	5.20249694	5.45868301
DDB_G0290715	5.97809553	6.54559443	6.24163947	6.9861742	6.28528119	6.46940948
DDB_G0290719	5.79177542	6.32358776	6.47553566	7.02473341	5.85538562	6.3733013
DDB_G0290721	12.1994201	12.1454626	12.10582775	11.41820284	12.14122843	11.98724832
DDB_G0290723	12.47514162	12.49268615	12.27425525	10.83280026	11.65433739	11.07120159
DDB_G0290725	7.86353564	7.90334403	7.79730052	7.75154795	7.9491926	8.37024771
DDB_G0290727	6.8206906	6.7042974	6.85525876	8.02636349	6.92211015	7.45402662
DDB_G0290729	7.43689453	7.46448453	7.43900877	7.83071723	7.512197	7.32791777
DDB_G0290737	8.01338377	8.17337508	8.25998021	8.20561573	7.78738773	7.55062522
