gene_id	WT1_aggregat	WT2_aggregat	WT3_aggregat	D1_aggregat	D2_aggregat	D3_aggregat
DDB_G0276565	5.56494386	5.56494386	5.56494386	5.56494386	5.56494386	5.91435159
DDB_G0276567	11.49929212	11.26617491	11.39099339	10.9136544	11.16879896	10.74007818
DDB_G0276569	8.45536883	8.13058189	8.31737866	8.6829047	8.63814823	8.4652234
DDB_G0276571	11.00875969	10.78251695	10.99107188	10.04266932	10.66095544	9.85791985
DDB_G0276573	9.12713095	9.31249543	9.28254591	9.96279195	9.70360056	9.69211911
DDB_G0276575	9.16048381	9.09735663	9.35950843	9.12003349	9.16966029	9.16363353
DDB_G0276577	12.79316114	12.8453865	12.92368281	12.67136536	12.64310921	12.09536368
DDB_G0276579	9.81909879	9.64991167	9.67129776	9.27530971	10.34660546	10.45443454
DDB_G0276581	8.66107085	8.57841246	8.6003539	8.59286418	8.6111185	8.92568268
DDB_G0276583	8.15793921	8.09184337	7.81372932	7.45416489	7.77397077	7.66999788
DDB_G0276587	9.75363672	9.68473899	9.92216311	10.12032996	9.86434362	9.72111818
DDB_G0276591	6.22197622	5.56494386	5.56494386	6.33443247	5.89108776	6.99207713
DDB_G0276593	5.77433213	5.93247605	6.03594869	5.82414251	5.89108776	5.56494386
DDB_G0276597	6.36627249	6.58585999	7.05849672	6.37502088	6.89147792	6.7215199
DDB_G0276601	6.68451267	6.99505145	7.15255324	6.7229977	6.71285677	5.91435159
DDB_G0276603	7.21445364	7.32146437	7.46299469	7.63144124	7.81259875	8.06434157
DDB_G0276607	7.71330805	7.79117219	8.01415666	7.75535535	7.95186291	7.68040367
DDB_G0276615	10.74283629	10.85893984	10.91488203	11.25235166	11.07438306	10.78985058
DDB_G0276617	12.57998132	12.50605932	12.56293369	11.10352076	11.8199177	11.7208514
DDB_G0276621	6.03152526	5.86530204	5.91669939	5.56494386	5.7535101	5.99236099
DDB_G0276623	10.20409148	10.18434328	10.38884975	9.74764589	9.67377116	10.2006646
