File,RT,feature,mz,mode,Intensity
01_DiSfp3.mzML,44.9194788,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,44.9194788,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,44.9194788,Discoidol,223.2056,pos,74533.9765625
01_DiSfp3.mzML,44.9194788,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,44.9194788,Leucine,132.1019,pos,184843.171875
01_DiSfp3.mzML,44.9194788,Mevaloic acid,149.0808,pos,135753.78125
01_DiSfp3.mzML,46.071219,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,46.071219,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,46.071219,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,46.071219,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,46.071219,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,46.071219,Discoidol,223.2056,pos,104501.703125
01_DiSfp3.mzML,46.071219,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,46.071219,Leucine,132.1019,pos,191528.5625
01_DiSfp3.mzML,46.071219,Mevaloic acid,149.0808,pos,87539.7578125
01_DiSfp3.mzML,47.2429638,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,47.2429638,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,47.2429638,MPBD,195.138,pos,46375.39453125
01_DiSfp3.mzML,47.2429638,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,47.2429638,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,47.2429638,Discoidol,223.2056,pos,93118.4375
01_DiSfp3.mzML,47.2429638,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,47.2429638,Leucine,132.1019,pos,170049.703125
01_DiSfp3.mzML,47.2429638,Mevaloic acid,149.0808,pos,93040.90625
01_DiSfp3.mzML,48.404202,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,48.404202,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,48.404202,MPBD,195.138,pos,40392.66796875
01_DiSfp3.mzML,48.404202,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,48.404202,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,48.404202,Discoidol,223.2056,pos,101459.25
01_DiSfp3.mzML,48.404202,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,48.404202,Leucine,132.1019,pos,225943.53125
01_DiSfp3.mzML,48.404202,Mevaloic acid,149.0808,pos,42047.03515625
01_DiSfp3.mzML,49.567572,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,49.567572,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,49.567572,MPBD,195.138,pos,73607.53125
01_DiSfp3.mzML,49.567572,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,49.567572,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,49.567572,Discoidol,223.2056,pos,68604.3515625
01_DiSfp3.mzML,49.567572,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,49.567572,Leucine,132.1019,pos,222231.140625
01_DiSfp3.mzML,49.567572,Mevaloic acid,149.0808,pos,25933.509765625
01_DiSfp3.mzML,50.7273228,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,50.7273228,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,50.7273228,MPBD,195.138,pos,32554.310546875
01_DiSfp3.mzML,50.7273228,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,50.7273228,Discadenine,305.1721,pos,41400.875
